company_id,business_age,employees,sector,location,monthly_revenue,monthly_expenses,profit_margin,avg_account_balance,transaction_frequency,loan_repayment_history,existing_loans,collateral_value,credit_default
SME_0000,7,29,Construction,Kisumu,594772.1667489646,436413.9737760945,0.26625017414392277,309476.0098612604,35,1,2,859157.6842195144,0
SME_0001,1,12,Retail,Thika,608512.0087171929,366397.1847053534,0.3978801084340849,201777.74612895865,43,1,2,871662.1259189964,0
SME_0002,15,44,Construction,Nakuru,391123.4550949635,305961.58553723263,0.2177365444295685,208873.8071767893,38,1,1,819923.8449682265,0
SME_0003,2,20,Services,Machakos,689487.9642093277,555023.3703096367,0.1950209443523625,290418.2555117629,38,0,1,1111935.6744188257,0
SME_0004,6,42,Services,Thika,64333.150635258295,56484.3557013379,0.12200234026186177,116488.2873412132,50,1,0,1079045.812069063,0
SME_0005,13,41,Transport,Machakos,828354.2232028153,538082.4040002812,0.3504199182810993,196517.05580212016,43,0,2,917409.7269260822,0
SME_0006,17,8,Manufacturing,Kisumu,332156.4953554723,285299.519933725,0.14106897223732204,175263.00993190284,47,0,2,1363651.7026399379,0
SME_0007,12,40,Hospitality,Kisumu,746699.3609086114,573743.6487635584,0.23162697224568957,226147.6179176011,53,0,1,975664.3137523938,0
SME_0008,7,27,Agriculture,Machakos,420272.32199695974,265766.52736198826,0.36763257190200876,195130.87300202032,41,1,2,1261811.5293971552,0
SME_0009,4,13,Construction,Kisumu,957445.1965914583,774032.6669957698,0.19156452008808872,223444.7396516458,41,1,1,1268989.115113284,0
SME_0010,11,28,Agriculture,Machakos,448363.0402927321,356137.9176596867,0.20569296383759125,236876.44923362348,41,1,1,881345.064525912,0
SME_0011,12,24,Construction,Kisumu,442172.6287060116,308177.02424073924,0.30303912039377345,350894.8720968424,63,1,0,1052373.3438495516,0
SME_0012,5,49,Agriculture,Kisumu,512046.0419882053,315135.47244013887,0.38455637462500325,397059.3689988229,39,1,1,1230189.0516119213,0
SME_0013,11,17,Construction,Thika,270041.4845011283,191819.9016408718,0.28966506018422394,312416.42447025503,46,1,2,1417697.7260475708,0
SME_0014,6,16,Transport,Kisumu,841320.9907356924,508979.30104173685,0.3950236513216432,269887.15325083036,45,1,0,724172.729729859,0
SME_0015,18,40,Agriculture,Kisumu,809986.8810035079,568869.9095728386,0.2976800946849225,171460.39793854445,48,1,0,1166836.5395601895,0
SME_0016,2,1,Hospitality,Nakuru,700097.121552421,459692.2639413368,0.3433878674975862,212193.66898074077,40,1,1,1185292.2536533435,0
SME_0017,11,49,Services,Thika,743414.1593960221,595249.0979448702,0.1993035235857315,52015.76502686148,58,0,1,1350589.3730351601,0
SME_0018,18,2,Hospitality,Kisumu,261739.30055947028,212965.16771622983,0.18634623359573926,252524.28869070637,39,1,2,712031.6103658281,0
SME_0019,16,12,Manufacturing,Kisumu,720985.6436900299,570227.3909111338,0.2091002145442314,243168.73612669326,56,1,0,550511.3087884209,0
SME_0020,15,33,Transport,Nakuru,307396.87478677474,186680.52049859954,0.3927052100705639,278174.40006504586,48,1,0,1182092.7128705876,0
SME_0021,9,37,Transport,Nairobi,430219.7634454497,329474.98204913875,0.23417050994935296,226911.90110290018,33,0,0,1015188.9432745499,0
SME_0022,3,18,Agriculture,Mombasa,534636.1851702364,412214.30988921964,0.2289816489731905,230825.39037830694,35,1,1,743427.8443360567,0
SME_0023,17,40,Agriculture,Nairobi,294587.6482128806,238835.52919035102,0.1892547748038672,89786.45056343272,45,1,0,718652.4880254632,0
SME_0024,8,46,Hospitality,Nakuru,187888.58551254618,150612.9633039511,0.19839215941144017,360027.8471284883,41,1,1,875640.4583830326,0
SME_0025,10,6,Construction,Thika,516039.7425081629,392770.6087357641,0.23887527184100338,277311.3601577934,44,0,1,846716.6598139113,0
SME_0026,15,35,Construction,Meru,94971.48266847857,79638.89317549394,0.16144414156938897,214916.3451815542,40,0,0,1534387.3231079099,0
SME_0027,1,1,Construction,Mombasa,364516.8664570487,244932.08090704947,0.32806379225277904,214708.44115276466,45,1,0,1173369.1405296505,0
SME_0028,3,12,Retail,Meru,363999.1331764115,228681.39853952412,0.371752903519432,178927.53241061815,38,1,0,611517.257656042,0
SME_0029,5,23,Retail,Mombasa,478976.29905071727,423771.27236365865,0.11525628052258415,174048.36419460803,45,1,2,1157382.7001891527,0
SME_0030,2,49,Services,Meru,734487.1564784485,589903.7289632993,0.19684949728510553,242512.00087682638,46,1,2,954464.471489325,0
SME_0031,1,40,Retail,Kisumu,617663.4412969153,406877.9726049647,0.34126265956321106,161085.37871581115,41,0,1,1062279.478385716,0
SME_0032,19,41,Construction,Nakuru,291407.72127942974,256728.58383951613,0.1190055544432878,306117.7334655238,43,1,2,463698.5164204654,0
SME_0033,7,32,Construction,Thika,255885.9791436291,196663.7300863979,0.23143999235686802,261158.2588260569,50,1,0,666650.8561767708,0
SME_0034,16,25,Hospitality,Eldoret,452155.040426049,272763.1138785887,0.3967487045559105,268317.9768854285,55,1,1,939938.531280679,0
SME_0035,15,16,Transport,Eldoret,904944.1996002013,622568.3358926595,0.31203676849058065,296393.83374228596,50,1,0,641001.8592359433,0
SME_0036,10,39,Hospitality,Machakos,862733.3151757815,768346.4799683501,0.1094044168077595,232366.631609402,49,1,1,1073489.9713326169,0
SME_0037,10,9,Retail,Kisumu,398611.36492577405,323621.6723959853,0.18812733185305114,292348.3470727139,50,0,0,856785.4808274037,0
SME_0038,12,39,Manufacturing,Mombasa,439535.1515847384,325518.9388470498,0.2594018074017621,199634.9736807763,31,0,0,1252051.3477835276,0
SME_0039,17,25,Agriculture,Thika,726668.4050138147,531122.4818494626,0.26909925051803313,48260.222385366214,56,1,0,1179727.9977487423,0
SME_0040,18,47,Agriculture,Nairobi,413611.55967832555,326036.5186946868,0.21173257597478098,348797.3605189544,47,0,1,1656940.8799653016,0
SME_0041,8,28,Services,Mombasa,338340.3429289697,242414.2632136649,0.28351948480303835,139447.51275907233,42,1,2,737476.3531395647,0
SME_0042,17,9,Agriculture,Eldoret,614269.5020653576,398528.88914684823,0.3512149181965326,277641.9056010569,56,1,0,603930.0378938073,0
